serial_no,country,date,year,continent,majority_religion,expense_inr_lakhs,multi_country_visit,source_url
2,Malaysia,"07 Feb – 08 Feb , 2026",2026,Asia,Islam,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
1,Israel,"25 – 26 Feb , 2026",2026,Asia,Judaism,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
13,France,10 Feb 2025 – 14 Feb 2025,2025,Europe,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
13,USA,10 Feb 2025 – 14 Feb 2025,2025,North America,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
12,Mauritius,11 March 2025 – 12 March 2025,2025,Africa,Hinduism,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
11,Thailand,3 April 2025 -6 April 2025,2025,Asia,Buddhism,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
11,Sri Lanka,3 April 2025 -6 April 2025,2025,Asia,Buddhism,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
10,Saudi Arabia,22 April 2025 -22 April 2025,2025,Asia,Islam,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
9,Cyprus,"15 June – 19 June, 2025",2025,Europe,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
9,Canada,"15 June – 19 June, 2025",2025,North America,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
9,Croatia,"15 June – 19 June, 2025",2025,Europe,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
8,Ghana,"02 July – 09 July, 2025",2025,Africa,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
8,Trinidad,"02 July – 09 July, 2025",2025,North America,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
8,Tobago,"02 July – 09 July, 2025",2025,North America,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
8,Argentina,"02 July – 09 July, 2025",2025,South America,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
8,Brazil,"02 July – 09 July, 2025",2025,South America,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
8,Namibia,"02 July – 09 July, 2025",2025,Africa,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
7,United Kingdom,"23 July – 26 July, 2025",2025,Europe,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
7,Maldives,"23 July – 26 July, 2025",2025,Asia,Islam,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
6,Japan,"28 Aug – 1 Sep, 2025",2025,Asia,Shinto / Buddhism,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
6,China,"28 Aug – 1 Sep, 2025",2025,Asia,No majority / Buddhism,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
5,Bhutan,"11 November – 12 November , 2025",2025,Asia,Buddhism,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
4,South Africa,"21 November – 23 November , 2025",2025,Africa,Christianity,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
3,Jordan,"15 Dec – 18 Dec , 2025",2025,Asia,Islam,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
3,Ethiopia,"15 Dec – 18 Dec , 2025",2025,Africa,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
3,and Oman,"15 Dec – 18 Dec , 2025",2025,Asia,Islam,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
24,United Arab Emirates (UAE),"13 February – 15 February, 2024",2024,Asia,Islam,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
24,Qatar,"13 February – 15 February, 2024",2024,Asia,Islam,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
23,Bhutan,"22 March – 23 March, 2024",2024,Asia,Buddhism,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
22,Italy,"13 June – 14 June, 2024",2024,Europe,Christianity,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
21,Russia,"8 July – 10 July, 2024",2024,Europe,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
21,Austria,"8 July – 10 July, 2024",2024,Europe,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
20,Poland,"21 Aug – 23 Aug, 2024",2024,Europe,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
20,Ukraine,"21 Aug – 23 Aug, 2024",2024,Europe,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
19,Brunei,"3 Sep – 5 Sep, 2024",2024,Asia,Islam,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
19,Singapore,"3 Sep – 5 Sep, 2024",2024,Asia,Buddhism,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
18,USA,"21 Sep – 24 Sep, 2024",2024,North America,Christianity,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
17,Laos,"10 October – 11 October, 2024",2024,Asia,Buddhism,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
16,Russia,"22 October – 23 October, 2024",2024,Europe,Christianity,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
15,Nigeria,"16 November – 22 November, 2024",2024,Africa,Islam / Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
15,Brazil,"16 November – 22 November, 2024",2024,South America,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
15,Guyana,"16 November – 22 November, 2024",2024,South America,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
14,Kuwait,21 Dec 2024 – 22 Dec 2024,2024,Asia,Islam,,NO,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
30,Japan,"19 May – 25 May, 2023",2023,Asia,Shinto / Buddhism,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
30,Papua New Guinea,"19 May – 25 May, 2023",2023,Oceania,Christianity,,YES,https://www.pmindia.gov.in/en/details-of-foreigndomestic-visits/
